,player_id,weight,current_team,college,draft_team,draft_round,draft_position,draft_year,position_cleaned,year,game_location,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points,height_inches
32604,16815,254.0,Carolina Panthers,Miami (FL),Chicago Bears,1.0,31.0,2007.0,TE,2017,A,11909.5,0,0,0,0.0,0,0,0,0,0,0,0,8,3,28,0,0,0,0,0,0.0,0.0,5.8,0,5.8,78.0
32605,16815,254.0,Carolina Panthers,Miami (FL),Chicago Bears,1.0,31.0,2007.0,TE,2017,H,11878.0,0,0,0,0.0,0,0,0,0,0,0,0,2,1,10,0,0,0,0,0,0.0,0.0,2.0,0,2.0,78.0
33130,19223,265.0,Minnesota Vikings,Notre Dame,Minnesota Vikings,2.0,43.0,2011.0,TE,2015,A,9496.0,0,0,0,0.0,0,0,0,0,0,0,0,36,25,219,1,0,0,0,0,0.0,0.0,52.90000000000001,0,52.90000000000001,77.0
33131,19223,265.0,Minnesota Vikings,Notre Dame,Minnesota Vikings,2.0,43.0,2011.0,TE,2015,H,9504.722222222224,0,0,0,0.0,0,0,0,0,0,0,0,38,25,300,4,0,0,0,0,0.0,0.0,79.0,0,79.0,77.0
33132,19223,265.0,Minnesota Vikings,Notre Dame,Minnesota Vikings,2.0,43.0,2011.0,TE,2016,A,9857.875,0,0,0,0.0,0,0,0,0,0,0,0,70,45,467,3,0,0,0,0,0.0,0.0,109.7,0,109.7,77.0
33133,19223,265.0,Minnesota Vikings,Notre Dame,Minnesota Vikings,2.0,43.0,2011.0,TE,2016,H,9862.375,0,0,0,0.0,0,0,0,0,0,0,0,62,38,373,4,0,0,0,0,0.0,0.0,99.3,0,99.3,77.0
33134,19223,265.0,Minnesota Vikings,Notre Dame,Minnesota Vikings,2.0,43.0,2011.0,TE,2017,A,10211.25,0,0,0,0.0,0,0,0,0,0,0,0,33,25,217,4,0,0,0,0,0.0,0.0,70.7,0,70.7,77.0
33135,19223,265.0,Minnesota Vikings,Notre Dame,Minnesota Vikings,2.0,43.0,2011.0,TE,2017,H,10197.291666666666,0,0,0,0.0,0,0,0,0,0,0,0,32,21,212,1,0,0,0,0,0.0,0.0,48.2,0,48.2,77.0
33251,14803,247.0,Los Angeles Chargers,Henderson St.,None,0.0,0.0,0.0,TE,2016,A,10560.4375,0,0,0,0.0,0,0,0,0,0,0,0,1,1,13,0,0,0,0,0,0.0,0.0,2.3,0,2.3,77.0
33252,14803,247.0,Los Angeles Chargers,Henderson St.,None,0.0,0.0,0.0,TE,2016,H,10568.84375,0,0,0,0.0,0,0,0,0,0,0,0,1,1,12,0,0,0,0,0,0.0,0.0,2.2,0,2.2,77.0
33253,14803,247.0,Los Angeles Chargers,Henderson St.,None,0.0,0.0,0.0,TE,2017,A,10923.05,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,77.0
33254,14803,247.0,Los Angeles Chargers,Henderson St.,None,0.0,0.0,0.0,TE,2017,H,10904.05,0,0,0,0.0,0,0,0,0,0,0,0,2,2,20,0,0,0,0,0,0.0,0.0,4.0,0,4.0,77.0
33960,13027,245.0,None,Boston Univ.,None,0.0,0.0,0.0,TE,2015,A,14273.472222222224,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,74.0
33961,13027,245.0,None,Boston Univ.,None,0.0,0.0,0.0,TE,2015,H,14273.888888888889,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,74.0
33992,8220,260.0,Seattle Seahawks,Miami (FL),New Orleans Saints,3.0,95.0,2010.0,TE,2015,A,10544.6,0,0,0,0.0,0,0,0,0,0,0,0,30,19,198,1,0,0,0,0,0.0,0.0,44.8,0,44.8,79.0
33993,8220,260.0,Seattle Seahawks,Miami (FL),New Orleans Saints,3.0,95.0,2010.0,TE,2015,H,10566.875,0,0,0,0.0,0,0,0,0,0,0,0,44,29,407,1,0,0,0,0,0.0,0.0,75.7,0,75.7,79.0
33994,8220,260.0,Seattle Seahawks,Miami (FL),New Orleans Saints,3.0,95.0,2010.0,TE,2016,A,10949.138888888889,0,0,0,0.0,0,0,0,0,0,0,0,52,35,459,1,0,0,0,0,0.0,0.0,86.9,0,86.9,79.0
33995,8220,260.0,Seattle Seahawks,Miami (FL),New Orleans Saints,3.0,95.0,2010.0,TE,2016,H,10948.027777777776,0,0,0,0.0,0,0,0,0,1,0,0,50,36,523,6,0,0,0,0,0.0,0.0,124.29999999999998,0,124.29999999999998,79.0
