,player_id,weight,draft_round,draft_position,draft_year,game_location,position_cleaned,height_inches,year,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
163,18719,255,6,206,2015,A,RB,73,2017,9072.0,0,0,0,0.0,0,0,0,0,4,9,0,3,3,14,0,0,0,0,0,0.0,0.9,4.4,0,5.3
164,18719,255,6,206,2015,H,RB,73,2017,9063.5,0,0,0,0.0,0,0,0,0,1,4,0,4,3,21,0,0,0,0,0,0.0,0.4,5.1,0,5.5
169,3096,235,5,168,2015,A,RB,71,2017,9389.45,0,0,0,0.0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0.0,0.0,1.8,0,1.8
170,3096,235,5,168,2015,H,RB,71,2017,9388.583333,0,0,0,0.0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0.0,0.7,0.0,0,0.7
180,20443,198,5,153,2008,A,WR,72,2017,11730.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
181,20443,198,5,153,2008,H,WR,72,2017,11734.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
186,4227,225,0,0,0,A,WR,78,2017,9247.583333,0,0,0,0.0,0,0,0,0,0,0,0,12,7,116,2,0,0,0,0,0.0,0.0,30.6,0,30.6
187,4227,225,0,0,0,H,WR,78,2017,9254.65,0,0,0,0.0,0,0,0,0,0,0,0,14,9,172,1,0,0,0,0,0.0,0.0,32.2,0,32.2
192,24012,204,3,98,2017,A,WR,73,2017,8368.5,0,0,0,0.0,0,0,0,0,0,0,0,2,1,15,0,0,0,0,0,0.0,0.0,2.5,0,2.5
193,24012,204,3,98,2017,H,WR,73,2017,8407.625,0,0,0,0.0,0,0,0,0,1,0,0,4,2,16,0,0,0,0,0,0.0,0.0,3.6,0,3.6
198,11494,214,0,0,0,H,WR,73,2017,8474.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
199,13930,208,4,128,2017,A,WR,75,2017,7901.0,0,0,0,0.0,0,0,0,0,0,0,0,6,2,19,0,0,0,0,0,0.0,0.0,3.9,0,3.9
200,13930,208,4,128,2017,H,WR,75,2017,7906.25,0,0,0,0.0,0,0,0,0,0,0,0,4,2,35,1,0,0,0,0,0.0,0.0,11.5,0,11.5
207,22171,200,0,0,0,A,WR,72,2017,10480.0,0,0,0,0.0,0,0,0,0,0,0,0,35,20,224,2,70,0,0,0,0.0,0.0,54.4,0,54.4
208,22171,200,0,0,0,H,WR,72,2017,10467.83333,0,0,0,0.0,0,0,0,0,2,-5,0,13,8,146,0,159,0,0,0,0.0,-0.5,22.6,0,22.1
211,6329,195,0,0,0,A,RB,70,2017,8193.166667,0,0,0,0.0,0,0,0,0,23,66,0,19,15,199,2,36,0,0,0,0.0,6.6,46.9,0,53.5
212,6329,195,0,0,0,H,RB,70,2017,8182.3,0,0,0,0.0,0,0,0,0,14,113,2,9,9,53,1,49,0,0,0,0.0,23.3,20.3,0,43.6
221,3480,202,0,0,0,A,WR,72,2017,8680.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
222,8003,209,3,84,2017,A,WR,73,2017,7914.25,0,0,0,0.0,0,0,0,0,0,0,0,10,9,122,0,0,0,0,0,0.0,0.0,21.2,0,21.2
223,8003,209,3,84,2017,H,WR,73,2017,7898.25,0,0,0,0.0,0,0,0,0,0,0,0,16,7,84,0,0,0,0,0,0.0,0.0,15.4,0,15.4
230,13212,209,0,0,0,A,WR,73,2017,9459.25,0,0,0,0.0,0,0,0,0,0,0,0,1,1,26,0,0,0,0,0,0.0,0.0,3.6,0,3.6
231,13212,209,0,0,0,H,WR,73,2017,9466.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
232,10167,232,7,242,2017,A,RB,72,2017,7971.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
237,1342,174,0,0,0,A,WR,68,2017,10399.2,0,0,0,0.0,0,0,0,0,0,0,0,17,10,92,0,0,0,0,0,0.0,0.0,19.2,0,19.2
238,1342,174,0,0,0,H,WR,68,2017,10405.5,0,0,0,0.0,0,0,0,0,0,0,0,30,18,122,4,0,0,0,0,0.0,0.0,54.2,0,54.2
243,8259,205,0,0,0,A,RB,71,2017,9435.916667,0,0,0,0.0,0,0,0,0,8,17,0,3,2,23,0,88,0,0,0,0.0,1.7,4.3,0,6.0
244,8259,205,0,0,0,H,RB,71,2017,9431.25,0,0,0,0.0,0,0,0,0,12,162,1,1,1,18,0,154,0,6,0,0.0,22.2,2.8,0,25.0
249,5102,210,0,0,0,A,RB,72,2017,9362.45,0,0,0,0.0,0,0,0,0,56,253,0,6,6,50,0,0,0,0,0,0.0,25.3,11.0,0,36.3
250,5102,210,0,0,0,H,RB,72,2017,9366.05,0,0,0,0.0,0,0,0,0,56,266,2,14,9,43,0,0,0,0,0,0.0,38.6,13.3,0,51.9
257,24178,250,2,55,2015,A,TE,76,2017,8593.75,0,0,0,0.0,0,0,0,0,0,0,0,6,6,40,0,0,0,0,0,0.0,0.0,10.0,0,10.0
258,24178,250,2,55,2015,H,TE,76,2017,8591.75,0,0,0,0.0,0,0,0,0,1,2,0,6,6,39,0,0,0,0,0,0.0,0.2,9.9,0,10.1
259,8050,218,3,96,2017,A,WR,76,2017,8750.875,0,0,0,0.0,0,0,0,0,0,0,0,6,3,60,0,0,0,0,0,0.0,0.0,9.0,0,9.0
260,8050,218,3,96,2017,H,WR,76,2017,8749.625,0,0,0,0.0,0,0,0,0,0,0,0,19,10,219,2,0,0,0,0,0.0,0.0,43.9,0,43.9
265,5061,247,0,0,0,A,TE,75,2017,8359.9,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
266,5061,247,0,0,0,H,TE,75,2017,8358.3,0,0,0,0.0,0,0,0,0,0,0,0,10,3,26,0,0,0,0,0,0.0,0.0,5.6,0,5.6
275,2425,215,1,30,2009,A,WR,75,2017,10623.4375,0,0,0,0.0,0,0,0,0,0,0,0,17,8,146,2,0,0,0,0,0.0,0.0,34.6,0,34.6
276,2425,215,1,30,2009,H,WR,75,2017,10616.4375,0,0,0,0.0,0,0,0,0,0,0,0,18,8,77,0,0,0,0,0,0.0,0.0,15.7,0,15.7
281,10909,254,5,160,2015,A,TE,79,2017,8529.083333,0,0,0,0.0,0,0,0,0,0,0,0,20,13,142,2,0,0,0,0,0.0,0.0,39.2,0,39.2
282,10909,254,5,160,2015,H,TE,79,2017,8542.95,0,0,0,0.0,0,0,0,0,0,0,0,22,15,104,1,0,0,0,0,0.0,0.0,31.4,0,31.4
286,23980,230,4,113,2014,A,RB,71,2017,9194.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
287,23980,230,4,113,2014,H,RB,71,2017,9200.25,0,0,0,0.0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0,0.2
288,15212,170,0,0,0,A,WR,71,2017,8605.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0.0,0.0,0.0,0,0.0
289,15212,170,0,0,0,H,WR,71,2017,8602.25,0,0,0,0.0,0,0,0,0,0,0,0,2,1,11,0,0,0,112,1,0.0,0.0,2.1,6,8.1
296,1383,198,1,12,2014,A,WR,71,2017,9092.5,0,0,0,0.0,0,0,0,0,0,0,0,28,16,169,2,0,0,0,0,0.0,0.0,44.9,0,44.9
297,1383,198,1,12,2014,H,WR,71,2017,9093.0,0,0,0,0.0,0,0,0,0,1,8,0,13,9,133,1,20,0,0,0,0.0,0.8,28.3,0,29.1
303,1544,248,2,61,2008,A,TE,79,2017,11182.1,0,0,0,0.0,0,0,0,0,0,0,0,24,16,175,0,0,0,0,0,0.0,0.0,33.5,0,33.5
304,1544,248,2,61,2008,H,TE,79,2017,11160.0,0,0,0,0.0,0,0,0,0,0,0,0,20,14,111,0,0,0,0,0,0.0,0.0,25.1,0,25.1
312,24148,196,7,230,2013,A,RB,68,2017,9623.333333,0,0,0,0.0,0,0,0,0,20,45,1,7,4,38,0,258,0,43,0,0.0,10.5,7.8,0,18.3
313,24148,196,7,230,2013,H,RB,68,2017,9631.1,0,0,0,0.0,0,0,0,0,8,24,0,2,2,20,0,68,0,94,0,0.0,2.4,4.0,0,6.4
318,5829,183,1,29,2015,A,WR,70,2017,9054.0,0,0,0,0.0,0,0,0,0,1,7,0,8,5,84,0,0,0,0,0,0.0,0.7,13.4,0,14.1
319,5829,183,1,29,2015,H,WR,70,2017,9047.333333,0,0,0,0.0,0,0,0,0,0,0,0,3,2,56,0,0,0,0,0,0.0,0.0,7.6,0,7.6
322,7450,186,1,21,2016,A,WR,72,2017,8603.75,0,0,0,0.0,0,0,0,0,0,0,0,11,7,140,2,0,0,27,0,0.0,0.0,33.0,0,33.0
323,7450,186,1,21,2016,H,WR,72,2017,8582.75,0,0,0,0.0,0,0,0,0,2,9,0,22,10,186,5,0,0,92,0,0.0,0.9,58.6,0,59.5
328,18350,236,3,85,2013,A,TE,75,2017,9954.75,0,0,0,0.0,0,0,0,0,0,0,0,21,17,133,2,0,0,0,0,0.0,0.0,42.3,0,42.3
329,18350,236,3,85,2013,H,TE,75,2017,9958.75,0,0,0,0.0,0,0,0,0,0,0,0,14,10,78,0,0,0,0,0,0.0,0.0,17.8,0,17.8
336,11975,212,0,0,0,A,WR,73,2017,10105.75,0,0,0,0.0,0,0,0,0,0,0,0,30,20,225,4,0,0,0,0,0.0,0.0,66.5,0,66.5
